Date,Entrée,Plat,Légumes,Laitage,Dessert,Gouter,Température,Humidité,Vitesse du vent moyen 10 mn,Attente moyenne,Taux particiaption,Taux gaspillage
2024-01-18,Carottes à l'orange,Filet de lieu,Gratin d'épinards panachés,Fromage,Banane équitable,Pain/ beurre/ corbeille de fruits/ lait ou fromage,14.3,94,7.4,10.0681960996683,0.9200842,0.041621387
2024-01-19,Salde de pomme de terre au thon,Rôit de veau,Haricots verts,Yaourt nature,Fruit de saison,Pain/ compote de pomme/ lait,12.4,68,10.3,0.0,0.9031389,0.09902226
2024-01-20,Duo de carottes/ courgettes/ vinaigrette,Chili de légumes,,Yaourt nature,,Pain/ crème de gruyère,17.8,90,1.2,12.3110873008028,0.915568,0.031599537
2024-01-21,Rillettes/ cornichons,Filtet de lieu sauce crevette,Riz créole,Camembert,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,10.0,64,6.4,0.0,0.9059291,0.11638958
2024-01-22,Pamplemousse,Rôti de bœuf OU Boulette de lentilles*,Carottes vichy pomme de terre,Fromage,Ananas brisés,Pain / confiture /banane équitable/lait,8.10000000000002,95,6.3,19.1644151001028,0.93687683,0.061569463
2024-01-23,Taboulé,Rôti de porc,Epinards béchamel,Saint Nectaire,Brugnon,Barre bretonne/ prunes/ lait,20.8,60,2.0,0.0,0.9060584,0.040631164
2024-01-24,Radis,Rôti de bœuf,Haricots verts,,Chou à la crème,Pain/ confiture/ lait,10.0,91,7.6,0.0,0.8659889,0.18778129
2024-01-25,"Salade carodis (carotte, radis noir, persil)",Omelette,Ratatouille/ pommes de terre,Yaourt à la fraise,,Pain/ beurre/ clémentines/ lait,12.2,99,4.1,1.7769199415267,0.9097664,0.13160886
2024-01-26,Riz printanier,Rôti de veau sauce forestière OU Aiguillette de blé aux carottes*,Petits pois / carottes,Fromage,Banane équitable,"Pain / beurre
Corbeille de fruits
Lait ou fromage",11.5,49,4.4,18.3303618433047,0.8609586,0.046694614
2024-01-27,Céleri vinaigrette,Omelette,Haricots verts/ pommes de terre,,Crème au chocolat/ petit beurre,Pain/ beurre/ barre chocolatée/ lait,12.5,61,4.6,16.6122980205752,0.9091578,0.19182074
2024-01-28,Pastèque,Pot au feu,Et ses légumes,Fromage,Far aux pommes,Pain / beurre / prunes / lait,22.4,66,5.0,0.0,0.919019,0.08666351
2024-01-29,PAS DE CENTRE,PAS DE CENTRE,PAS DE CENTRE,,PAS DE CENTRE,PAS DE CENTRE,18.0,69,5.8,18.2007311492063,0.8915543,0.093057625
2024-01-30,Betteraves vinaigrette,Jambon de dinde,Chips,,Cocktail de fruits,,23.4,47,3.5,0.0,0.56744236,0.069408454
2024-01-31,Betteraves au miel,Bolognaise végétale,Coquillettes,,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",21.4,60,5.1,0.0,0.92871475,0.03899856
2024-02-01,Salade de tomates/ féta,Gratin de pommes de terre au fromage fondu,,Emmenthal,Compote pommes/ fraises,Yaourt/ madeleine,15.3,87,1.5,17.2853805262487,0.57818866,0.29698953
2024-02-02,Œufs durs/ salade,Paëlla de légumes,,Crème nappée caramel,,Pain/ beurre/ pomme/ lait,3.40000000000003,82,6.2,0.0,0.8909178,0.1888273
2024-02-03,Pamplemousse,Sauté de bœuf goulash OU Boulette de lentilles*,Pâtes,,Compote pomme-abricot,"Pain / beurre
Pomme
Lait",13.9,83,7.7,0.0,0.9521713,0.041672032
2024-02-04,Cervelas OU macédoine de légumes,Croziflette,Salade verte,,Fruit de saison,Pain beurre/ corbeille de fruits/ lait ou fromage,10.0,68,3.9,4.37426019603505,0.90526557,0.40092534
2024-02-05,"Salade piémontaise (pomme de terre, tomate, jambon, œuf, cornichon)",Steak haché,Haricots beurre,Edam,Poire,Cake aux pépites de chocolat/ yaourt nature,12.8,49,4.4,0.0,0.51762176,0.52786547
2024-02-06,Pamplemousse,Rôti de porc au jus,Lentilles,Crme au chocolat,,Pain/ confiture d'abricots/ lait,10.7,58,4.5,38.3464534607311,0.9066253,0.038776778
2024-02-07,Riz niçois,Poulet label au jus,Haricots verts,Fromage,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,25.0,50,2.2,0.0,0.9016217,0.23077905
2024-02-08,Salade fromagère,Sauté de bœuf marocain OU Galette de lentilles corail boulgour*,Pomme de terre vapeur,,Dés d'ananas,Pain / confiture / fromage blanc,11.2,75,5.8,0.0,0.9207681,0.2743333
2024-02-09,"Salade coleslaw (chou blanc, raisin sec, mayonnaise)",Gratin de boulghour,Salade verte,Yaourt à la vanille,,Pain/ confiture/ lait,8.60000000000002,91,1.8,20.7825534928153,0.90027076,0.095153585
2024-02-10,"Riz niçois (riz, cronichon, tomate, petit pois, poivron)",Filet de lieu sauce armoricaine,Brocolis,Fromage,Fruit de saison,Pain/ beurre/ compote de pomme/ lait,3.40000000000003,99,2.0,0.0,0.108894855,0.03171693
2024-02-11,Œuf dur sauce aurore,Émincé de poule au pot sauce crème OU Nugget's végé*,Purée de pommes de terre,,Pain perdu,"Pain
Crème de gruyère
Compote pomme",16.4,64,2.3,0.0,0.5649918,0.24617864
2024-02-12,"Salade coleslaw (chou blanc, raisin, mayonnaise)",Rôti de veau au jus,Semoule,Fromage,Compote de pommes,Pain/ beurre/ banane équitable,7.20000000000005,75,3.1,0.0,0.683253,0.05938498
2024-02-13,Carottes râpées vinaigrette,Haricots blancs à la provençale,Riz,Fromage,Cocktail de fruits,Pain/ beurre/ barre chocolatée/ lait,14.8,98,0.7,0.0,0.9290424,0.031202372
2024-02-14,,,Salade de pâtes au surimi,Yaourt,Kiwi,,16.2,59,1.8,16.1731719392257,0.890129,0.07180582
2024-02-15,ferme,ferme,ferme,ferme,ferme,ferme,20.0,69,1.8,6.92186315772882,0.87682986,0.08681109
2024-02-16,Œuf dur et salade,Haricots blancs à la provençale,Riz,Yaourt nature,Cookies,"Pain / beurre
Barre chocolatée
Lait",17.5,73,5.4,0.0,0.94410497,0.2755764
2024-02-17,Carottes aux dés d'ananas,Couscous au poulet et ses légumes,,Carré frais,Cocktail de fruits,Pain/ beurre/ barre chocolatée/ lait,16.7,76,5.2,13.8621082480782,0.9438082,0.15691113
2024-02-18,Rillettes/ salade verte OU betteraves,Filet de saumon,Gratin d'épinard panaché,,Crêpes au chocolat,Pain/ beurre/ corbeille de fruits/ lait ou fromage,11.2,86,9.6,3.40889257954877,0.9188227,0.04011556
2024-02-19,"Salade d'hiver (carotte, céleri, pomme, raisin sec, citron)",Sauté de veau aux champignons,Petits pois,Riz au lait,,Pain/ confiture/ lait,11.7,63,6.2,0.0,0.57465065,0.037540052
2024-02-20,Concombre bulgare,,Flageolets,Fromage,Compote pommes/cassis,Pain/ confiture/ lait,17.8,83,4.7,18.4652210875912,0.9161545,0.1681872
2024-02-21,Radis et rondelé nature,Pot au feu OU Omelette*,Légumes du pot,,Far aux pommes,"Pain 
Crème de gruyère
Kiwi",14.8,89,3.3,17.8853938946041,0.8564899,0.17271192
2024-02-22,Concombres bulgares,Couscous d'agneau et ses légumes,Semoule,Crme pralinée,,Pain/ beurre/ kiwi/ lait,10.3,80,5.0,0.0,0.9080506,0.2535607
2024-02-23,Betteraves cuites vinaigrette / œuf dur,Gratin de boulghour,Salade verte,Crème vanille,,Pain/ beurre/ kiwi/ lait,7.90000000000003,90,3.3,12.1267138297117,0.8991207,0.14848652
2024-02-24,Galantine de volaille et salade verte,Filet de lieu sauce provençale,Gratin d'épinards panaché,Yaourt nature,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",14.9,58,6.6,0.0,0.94729894,0.057576254
2024-02-25,Haricots verts vinaigrette,Tortis bolognaises,,Edam,Banane,Cake aux pépites de chocolat/ lait,14.3,75,6.5,0.0,0.89921445,0.04790454
2024-02-26,Galantine de volaille/ salade verte,Filet de lieu,Gratin de brocolis,Fromage,Fruit de saison,,20.9,66,5.5,4.1499424922852,0.87057847,0.061650038
2024-02-27,Radis croc' fromage frais,Sauté de poulet à la milanaise OU Galette de tomate*,Pâtes,,Crèpes,"Madeleine
Crème à la vanille",17.9,40,1.3,34.0229092082647,0.87008953,0.28571135
2024-02-28,Chou fleur vinaigrette,Blanquette de veau OU Boulette de pois chiches*,Coquillettes,Petits suisses nature,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",15.7,91,5.0,0.0,0.13539867,0.04148321
2024-02-29,Salade aux croétons,Sauté de porc dijonnais,Flageolets,Gouda,Pomme,Pain/ beurre/ compote de fraises/ lait,17.9,64,8.6,0.0,0.9323643,0.04408242
2024-03-01,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,VACANCES SCOLAIRES,22.6,52,3.0,0.0,0.121185854,0.09326934
2024-03-02,Carottes aux dés de gruyère,Couscous de légumes,,Yaourt à la pulpe de fruits,,Pain/ beurre/ barre chocolatée/ lait,12.0,72,1.7,0.0,0.909786,0.17319688
2024-03-03,Betteraves cuites vinaigrette,Poulet rôti,Frites,Yaourt à la pulpe de fruits,,Pain/ compote de pommes/ lait,12.1,85,3.1,0.0,0.9054872,0.270103
2024-03-04,Betteraves / cossettes,Dos de lieu sauce armoricaine,Riz créole,,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,11.0,100,3.0,7.19020577922555,0.90709543,0.04140687
2024-03-05,"Salade d'hiver (carotte, céleri, pomme, raisin sec, citron)",Parmentier de légumes d'hiver,,Fromage,Crèpe au miel,Pain / crème de gruyère / banane équitable / lait,12.9,76,5.3,0.0,0.911505,0.04214807
2024-03-06,Salade de croûton,Sauté de porc OU rôti de dinde sauce piquante OU aiguillettes de blé et carottes *,Salsifis panachés,Petits suisses aux fruits,,Pain / beurre/ barre chocolatée/ lait,13.9,67,5.7,0.0,0.12554894,0.052483864
2024-03-07,Radis/ rondelé nature,Bolognaise,Tortis,,Crêpes au chocolat,Petit beurre/ orange/ lait,8.60000000000002,46,5.4,24.911459697778,0.8788866,0.074634135
2024-03-08,"Salade bicolore (chou rouge, chou blanc)",Poulet rôti au jus,Petit pois/ carottes,,Riz au lait,Pain/ beurre/ barre chocolatée/ lait,10.6,87,3.2,21.5801543556101,0.9026562,0.38279343
2024-03-09,Cœur de palmier/ maïs/ salade,Poisson pané,Petits pois la française,Petits suisses,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,8.5,59,5.6,20.4670708402596,0.8828253,0.40903586
2024-03-10,Thon/ pommes de terre,Poulet rôti label au jus,Petits pois/ carottes,Fromage,Fruit de saison,Pain/ confiture/ lait,19.2,74,3.6,1.02200962453623,0.92718977,0.37462637
2024-03-11,Rillettes/ salade,Filet de lieu sauce crevette,Gratin d'épinards panachés,Tome des Pyrénées,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,21.1,74,2.1,0.0,0.9366072,0.10206113
2024-03-12,Salade de blé aux légumes,Filet de lieu beurre persillé,Fondue de poireaux,Tome noire,Orange,Pain/ beurre/ barre chocolatée/ lait,8.90000000000003,86,2.0,22.2125146787511,0.5800788,0.08130033
2024-03-13,ferme,ferme,ferme,ferme,ferme,ferme,10.8,70,6.7,0.0,0.84088993,0.10410854
2024-03-14,ferme,ferme,ferme,ferme,ferme,ferme,18.2,61,3.0,0.0,0.3938221,0.08681109
2024-03-15,Salade de tomates/ féta,Gratin de boulgour,Salade verte,Yaourt à la pulpe de fruits,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,19.6,64,3.4,6.55579148129948,0.9269899,0.2504186
2024-03-16,Salade verte et gruyère,Brandade de poisson,,,Fruit de saison,"Pain d'épices
Confiture
Fromage blanc",10.4,81,5.4,52.5720503881482,0.5770208,0.1573283
2024-03-17,,,Salade mexicaine,Yaourt,Pomme,,15.3,91,2.7,0.0,0.89348227,0.086884
2024-03-18,Pastèque,Rôti de veau au jus,Gratin de concombre panaché,Fromage blanc/ raisins secs,,Pain/ beurre/ barre chocolatée/ lait,19.5,68,7.6,14.5120539526953,0.9161853,0.035504073
2024-03-19,Choux-fleurs vinaigrette,Filet de lieu sauce oseille,Pommes boulangères,Saint Paulin,Clémentine,Pain/ beurre/ barre chocolatée/ lait,11.4,75,4.6,0.0,0.012351146,0.011537789
2024-03-20,Taboulé,Rôti de porc OU Rôti de dinde OU Mix veggie mexicain*,Carottes ménagères,Fromage,Banane équitable,"Pain / confiture
Petits-suisses aux fruits",17.7,88,5.4,0.0,0.5811494,0.037938032
2024-03-21,Sardines/ pommes de terre,Rôti de porc 1/2 sel OU sauté de dinde,Choux braisé,Fromage,Banane équitable,Pain d'épices/ compote de pomme,15.2,67,2.2,21.1574759640452,0.559424,0.043694034
2024-03-22,Carottes/ pamplemousse,Rôti de porc OU sauté de dinde,Pommes persillées,Yaourt à l'abricot,,Pain/ compote tous fruits/ lait,6.40000000000003,78,2.6,0.0,0.9371218,0.041394003
2024-03-23,Œuf / salade verte,,Gratin de boulghour,Fromage blanc / confiture de fraises,,Pain/ beurre/ barre chocolatée/ lait,11.8,77,,0.0,0.9333836,0.3134046
2024-03-24,Betteraves cuites/ mimosa,Gratin de boulgour,Salade verte,Fromage blanc sucré,,Madeleines/ compote de pommes/ lait,21.2,74,4.9,0.0,0.5830724,0.03842193
2024-03-25,Salade de gruyère,Cassoulet (saucisse de porc ou de volaille),,,Compote tous fruits,Pain/ confiture/ lait,15.3,76,2.4,0.0,0.91205275,0.27791837
2024-03-26,Macédoine mayonnaise,Sauté de poulet label marengo,Semoule,Fromage,Fruit de saison,Pain/ beurre/ barre chocolatée/ lait,14.0,63,4.2,0.0,0.91798764,0.25498593
2024-03-27,"Salade coleslaw (chou blanc, raisin, mayonnaise)",Rôti de veau au jus,Semoule,Fromage,Compote de pommes,Pain/ beurre/ banane équitable,7.20000000000005,75,3.1,0.0,0.683253,0.05938498
2024-03-28,Concombres dés de féta,Cordon bleu,Petits pois carottes,,Compote pommes / poires,Pain / beurre / barre chocolatée / lait,20.2,66,4.2,4.03661085231215,0.9205323,0.13694793
2024-03-29,Melon,Veau marengo,Haricots verts,,Chou à la crème,Pain/ compote de pêches/ lait,20.2,82,2.4,0.0,0.89745325,0.0871483
2024-03-30,Choux rouge/ raisins,Galette/ tomate/ fromage,Salade verte,,Crème lactée vanille,Pain/ beurre/ kiwi/ lait,11.0,68,3.6,6.36506292964306,0.028095825,0.009248499
2024-03-31,"Rillettes, cornichon OU Betteraves",Filet de lieu,Gratin de brocolis panaché,Fromage,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",18.0,76,2.6,26.5030641841124,0.9302323,0.030031743
2024-04-01,"Rillettes, cornichon OU Macédoine",Filet de lieu,Gratin de chou-fleur panaché,,Fruit de saison,"Pain / beurre
Corbeille de fruits
Lait ou fromage",8.5,79,6.0,0.0,0.91762185,0.13368474
2024-04-02,"Salade d'hiver (carotte, céleri, pomme, raisin sec, citron)",Sauté de porc agenais OU Rôti de dinde OU Mélange mix mexicain*,Haricots blancs,Yaourt,,"Pain / confiture
Raisins secs",17.5,85,4.6,0.0,0.9201656,0.02675993
2024-04-03,Tomate vinaigrette,Dos de lieu à la provençale,Courgettes persillées,Semoule au lait,,Pain/ beurre/ corbeille de fruits/ lait ou fromage,15.7,84,1.4,0.28433054253609,0.91850907,0.037101038
2024-04-04,Radis râpés / vinaigrette,Riz safrané aux légumes,,Fromage,Compote de pomme,Pain/ beurre/ pomme/ lait,13.6,82,4.8,15.5560798177786,0.9152309,0.042532746
2024-04-05,Chou-rouge vinaigrette,Poulet OU Galette de boulgour*,Frites,Yaourt,,"Pain / beurre
Barre chocolatée
Lait",21.2,77,2.3,0.0,0.8717314,0.3222229
2024-04-06,Potage carotte à la crème,Filet de lieu,Fondue de poireaux panachée,,kiwi,Pain/ corbeille de fruits/ lait ou fromage,9.20000000000004,81,2.0,0.0,0.905058,0.0392634
2024-04-07,Potage poireaux/ pommes de terre,Escalope de poulet au paprika,Coquillettes,Tomme des Pyrénées,Kiwi,Madeleine/ compote/ lait,12.8,99,0.9,0.0,0.005859421,0.0017578206
2024-04-08,Radis,Rôti de porc au jus,Frites,Fromage fondu,Compote pommes/ cassis,Biscuit goûter/ confiture de fraises,7.60000000000002,67,5.8,27.3333046270558,0.87963396,0.041792393
2024-04-09,ferme,ferme,ferme,ferme,ferme,ferme,17.0,56,4.4,0.0,0.8991435,0.086884
2024-04-10,Salade dés de feta,Rôti de bœuf au jus,Haricots verts,,Far breton,Beurre/ orange/ lait,15.9,54,1.9,0.0,0.8729139,0.26579857
2024-04-11,"Salade carodis (carotte, radis noir, persil)",Escalope de dinde OU Galette de lentilles corail*,Gratin de salsfis et pommes de terre,,"Crème au chocolat, biscuits petits beurre",Pain /beurre / orange / lait,14.6,92,4.7,0.334760240776693,0.92520446,0.13316984
2024-04-12,Taboulé,Rôti de porc OU Rôti de dinde OU Mix veggie mexicain*,Carottes ménagères,Fromage,Banane équitable,"Pain / confiture
Petits-suisses aux fruits",17.7,88,5.4,0.0,0.5811494,0.037938032
2024-04-13,Sardines/ beurre,Saucisse grillée,Lentilles,Gouda,Pomme,Pain/ beurre/ barre chocolatée/ lait,15.9,79,4.6,35.7562931241212,0.9207602,0.15012078
2024-04-14,Salade fromagère (salade verte et dés de gruyère),Sauté de bœuf goulash OU Croustillant fromager*,Carottes jeunes,,Ananas brisé,"Pain / beurre
Banane équitable
Lait",7.0,86,4.3,0.0,0.94433343,0.26864922
2024-04-15,Bâtonnet de courgette,Couscous de légumes,,Yaourt,,"Pain / beurre
Pêche
Lait",17.6,82,5.4,0.0,0.9293897,0.21612275
2024-04-16,"Salade carodis (carotte, radis noir, persil)",Gnocchi à la romaine,,,Compote de poire,Pain / beurre / barre chocolatée  / lait,12.1,63,3.7,0.0,0.1628243,0.12800434
2024-04-17,Pamplemousse,Lasagnes de bœuf,Salade verte,Yaourt à l'abricot,,Pain/ beurre/ barre chocolatée/ lait,17.1,60,1.7,35.4103620687279,0.93120146,0.17862643
2024-04-18,"Surimi, sauce cocktail et sa mâche",Sauté de chapon et sa sauce,Pommes pins,Fromage,Dessert glacé,Pain au lait/ jus de fruits,9.5,71,7.6,0.0,0.92832726,0.11748023
2024-04-19,Potage de légumes,Pâtes au potiron et mozzarella,,,Fruit de saison,"Madeleine
Crème à la vanille",10.7,82,1.4,1.69635241961767,0.86143553,0.04237128
2024-04-20,Melon,Sauté d'agneau marengo,Haricots verts,,Chou à la crème,Pain/ compote de pêches/ lait,20.2,82,2.4,0.0,0.8800775,0.2442315
2024-04-21,,Blanc de poulet,Salade de blé aux légumes,Yaourt,Abricots,,18.9,83,5.7,22.0431468152502,0.90334785,0.27517498
2024-04-22,Carottes persillées,Escalope de porc charcutière,Petits pois,Riz au lait,,Barre bretonne/ pche/ lait,19.3,56,1.5,3.48686131869086,0.90540785,0.03341897
2024-04-23,Betteraves et dés de mimolette,Saucisse de porc OU Saucisse de volaille OU Galette de soja à la tomate *,Flageolets,,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",13.0,67,1.0,11.1870825585231,0.92809707,0.19269781
2024-04-24,Céleri rémoulade,Filet de lieu sauce armoricaine,Riz créole,Tome noire,Banane,Pain/ beurre/ corbeille de fruits/ lait ou fromage,11.6,69,4.9,41.991335747066,0.90926147,0.043010775
2024-04-25,Potage poireaux/ pommes de terre,Escalope de poulet au paprika,Coquillettes,Tomme des Pyrénées,Kiwi,Madeleine/ compote/ lait,12.8,99,0.9,0.0,0.005859421,0.0017578206
2024-04-26,ferme,ferme,ferme,ferme,ferme,ferme,18.1,80,2.3,0.0,0.8502597,0.08681109
2024-04-27,Melon,Hachis parmentier,Salade verte,Yaourt à la pulpe de fruits,,Pain au lait/ jus de fruits,20.1,84,4.8,32.2671534915075,0.6187591,0.15607023
2024-04-28,Œuf salade,Couscous de légumes,,Fromage,Crème dessert,"Pain / beurre
Barre chocolatée
Lait",7.10000000000002,79,7.6,0.0,0.9020268,0.5094865
2024-04-29,Chou rouge/ vinaigrette,Sauté de porc OU Rôti de dinde à l'indienne,Pommes vapeur,Yaourt à l'abricot,,Pain/ beurre/ barre chocolatée/ lait,5.30000000000001,71,4.0,1.1573041000792,0.8920512,0.0364132
2024-04-30,Pastque,Saucisse rougail,Riz créole,,Sorbet mangue/ passion,Pain au lait/ jus de fruits,17.8,88,4.4,0.0,0.87434417,0.13939568
2024-05-01,Galantine de volaille/ salade verte,Filet de lieu,Gratin de brocolis,Fromage,Fruit de saison,,20.9,66,5.5,0.0,0.87057847,0.05170951
2024-05-02,"Salade bicolore (Chou rouge et blanc, pomme, raisin sec)",Boulghour de légumes,,Fromage,Compote pomme-banane,"Pain / beurre
Barre chocolatée
Lait",12.0,75,9.4,11.4253043882643,0.9245781,0.08480837
2024-05-03,ferme,ferme,ferme,ferme,ferme,ferme,11.5,53,2.0,4.75579411986482,0.28706187,0.08324979
2024-05-04,Tomates mozzarella,Poulet rôti,Haricots beurre provençale,,Grillé aux pommes,Pain / crème de gruyère / abricots,20.4,66,4.3,16.8396964560414,0.5986071,0.5364471
2024-05-05,"Salade carodis (carotte, radis noir, persil)",Poulet à l'ananas,Semoule aux épices,Fromage ail et fines herbes,Compote tous fruits,Pain/ confiture/ lait,15.3,86,3.3,33.6008063103544,0.90070564,0.16737704
2024-05-06,Piémontaise,Sauté de veau milanaise OU galette de soja à la tomate *,Carottes ménagères,Fromage,Fruit de saison,Petit écolier / compote pomme-abricot,15.9,92,7.0,0.0,0.58086324,0.17082673
2024-05-07,Carottes à l'orange,Escalope de dinde label sauce champignons,Épinards béchamel,Riz au lait,,Madeleine/ cocktail de fruits/ lait,6.5,84,5.3,0.0,0.57043684,0.1603752
2024-05-08,Pastèque,Rôti de porc au jus,Frites,Yaourt nature sucré,,Pain beurre/ brugnon/ lait,18.0,73,4.2,16.6440740887447,0.94327724,0.042103384
2024-05-09,"Salade méli-mélo (carotte, céleri)",Filet de lieu sauce citron,Pommes de terre persillées,Fromage,Grillé aux pommes,"Pain / beurre
Corbeille de fruits
Lait ou fromage",11.9,69,6.1,13.4126160711143,0.9018602,0.03557335
2024-05-10,ferme,ferme,ferme,ferme,ferme,ferme,18.7,64,5.5,0.0,0.8869528,0.08681109
2024-05-11,Salade de pâtes aux trois couleurs,Escalope de dinde label à la crème,Petits pois,Fromage,Fruit,Madeleine/ compote/ lait,13.6,74,8.1,0.0,0.5314405,0.28474236
2024-05-12,Potage de pois cassés,Boulette de patate douce,Julienne de légumes,Fromage,Fruit de saison,"Pain festif
Fromage blanc
Confiture de fraises",13.0,81,1.8,0.0,0.58031404,0.04222748
2024-05-13,"Salade pasta (tagliatelle, tomate, haricot vert, poivron)",,Brocolis,,Crème vanille,Petit beurre/ yaourt sucré,17.9,68,1.3,0.0,0.5820503,0.12400261
2024-05-14,"Salade bicolore (chou rouge et blanc, pomme, raisin sec)",Steak haché,Purée de pommes de terre,Saint Paulin,Poire,Petits suisses/ petits beurre,10.6,92,2.0,0.0,0.018501557,0.0035909142
2024-05-15,Carottes râpées vinaigrette,Filet de lieu beurre citron,Pommes de terre vapeur,Fromage,Compote,Pain / beurre/ corbeille de fruits/ lait ou fromage,10.2,91,4.4,8.95397324069126,0.8974169,0.042655826
2024-05-16,Œuf dur et salade,Haricots blancs à la provençale,Riz,Yaourt nature,Cookies,"Pain / beurre
Barre chocolatée
Lait",17.5,73,5.4,0.0,0.94410497,0.2755764
2024-05-17,Betteraves cuites vinaigrette / œuf dur,Gratin de boulghour,Salade verte,Crème vanille,,Pain/ beurre/ kiwi/ lait,7.90000000000003,90,3.3,12.1267138297117,0.8991207,0.14848652
2024-05-18,Chou-fleur persillé,Lasagnes OU Lasagnes de légumes*,,,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",12.9,69,2.3,20.0461167645547,0.91823256,0.17911327
2024-05-19,Carottes râpées persillées,Filet de lieu sauce moules,Fondue de poireaux,,Chou à la crème,Pain/ beurre/ corbeille de fruits/ lait ou fromage,8.40000000000003,82,5.4,0.0,0.9097233,0.03388514
